anchor,positive,negative
embeddings_train_data\topwear\anchor\3f644fab5dad8f8bcbdfa955937d4d1c.jpg,embeddings_train_data\topwear\positive\ebe94cc01d4539852dac316869bedebd.jpg,embeddings_train_data\topwear\positive\8ee045d2acbbef7484f9878a46946b8d.jpg
embeddings_train_data\topwear\anchor\3f644fab5dad8f8bcbdfa955937d4d1c.jpg,embeddings_train_data\topwear\positive\0277654f03b92360779185febc55b3a1.jpg,embeddings_train_data\topwear\positive\b905c3a7341a83378144f6ac5a40d606.jpg
embeddings_train_data\topwear\anchor\4154f581ade3a0d1c6631a980c42421b.jpg,embeddings_train_data\topwear\positive\3c32ad0ed2f6e4bf98ebd6fe3087424f.jpg,embeddings_train_data\topwear\positive\d1fa1b47183debba470afac7804e5a2e.jpg
embeddings_train_data\topwear\anchor\4154f581ade3a0d1c6631a980c42421b.jpg,embeddings_train_data\topwear\positive\e6503e59502efcb543c1ffc0a463f528.jpg,embeddings_train_data\topwear\positive\4402bcd0ddc9a3ca06cfb49ed9c6b10e.jpg
embeddings_train_data\topwear\anchor\4154f581ade3a0d1c6631a980c42421b.jpg,embeddings_train_data\topwear\positive\a64fce89406249d175f5e34642a5aaac.jpg,embeddings_train_data\topwear\positive\00fde9aeb142d0c02dbdf3aa084d15d1.jpg
embeddings_train_data\topwear\anchor\4154f581ade3a0d1c6631a980c42421b.jpg,embeddings_train_data\topwear\positive\1d8b2f450e786a20e473ff9f86b6ecc3.jpg,embeddings_train_data\topwear\positive\a921f1af993dce66da949fb4d47c849d.jpg
embeddings_train_data\topwear\anchor\4154f581ade3a0d1c6631a980c42421b.jpg,embeddings_train_data\topwear\positive\41fd7c3f45cb6de54a705366a17563cf.jpg,embeddings_train_data\topwear\positive\dc343d5480bc40897600dd384bfb88a7.jpg
embeddings_train_data\topwear\anchor\4236ebde28b3a18e2b33832f365a9f53.jpg,embeddings_train_data\topwear\positive\ee62a0a21762505079635d001b22eda9.jpg,embeddings_train_data\topwear\positive\d1bdb2509ca891c0028d3fc2e3c1fb6c.jpg
embeddings_train_data\topwear\anchor\4436d24feccb251579b17d45144bebe1.jpg,embeddings_train_data\topwear\positive\5ac2b35e8870dd8d8270f480e09b5070.jpg,embeddings_train_data\topwear\positive\d5fa168500b47d7a641d2ca1d91086e6.jpg
embeddings_train_data\topwear\anchor\447947b3120f15c0bfa63fedfed4002b.jpg,embeddings_train_data\topwear\positive\706c31467c8153f9fe5020c499f07785.jpg,embeddings_train_data\topwear\positive\5f3043d3b4a5911499bf690dccdf907e.jpg
embeddings_train_data\topwear\anchor\48022c187c437d8f9172599bedc426a9.jpg,embeddings_train_data\topwear\positive\0aeb57b8a8254a9da561111b7b154c3a.jpg,embeddings_train_data\topwear\positive\8372fc142e3e632fe45d9d54aa8b670a.jpg
embeddings_train_data\topwear\anchor\4ad16cc141ff9037e2ab1db89eb1d9e9.jpg,embeddings_train_data\topwear\positive\ac3d371ed9bec08184c75eef14ffe491.jpg,embeddings_train_data\topwear\positive\021a9d9e4cc2f3ea0d8747295364d2bc.jpg
embeddings_train_data\topwear\anchor\4b6bcef1aac52369e7e31d05a65fb9f0.jpg,embeddings_train_data\topwear\positive\cd2083ad5da4c55e0748b848506ad8f5.jpg,embeddings_train_data\topwear\positive\66405e44b66d489831babb387a6d3cb0.jpg
embeddings_train_data\topwear\anchor\4c9d7602eef3a807c8600bb272cefed1.jpg,embeddings_train_data\topwear\positive\eb0a749f27e12674102477435038ec64.jpg,embeddings_train_data\topwear\positive\67215e0be9f419aae0cb35f15fab75ff.jpg
embeddings_train_data\topwear\anchor\4c9d7602eef3a807c8600bb272cefed1.jpg,embeddings_train_data\topwear\positive\535c878bd80dc4ef350fcdcd8e37fd55.jpg,embeddings_train_data\topwear\positive\c9a4cbe1a6db75b87da795cd8487fdd1.jpg
embeddings_train_data\topwear\anchor\4cd329def58a4b7086d536d63368eb80.jpg,embeddings_train_data\topwear\positive\15288d4978f7b6242131493183238d29.jpg,embeddings_train_data\topwear\positive\82b6fc6deaa25bf764d2081c1ab4e996.jpg
embeddings_train_data\topwear\anchor\4cd329def58a4b7086d536d63368eb80.jpg,embeddings_train_data\topwear\positive\2e5a2881eb9f41a91b35a0bd3268055e.jpg,embeddings_train_data\topwear\positive\d8d0115672c0515ed7b4524aa47c88ed.jpg
embeddings_train_data\topwear\anchor\4cd329def58a4b7086d536d63368eb80.jpg,embeddings_train_data\topwear\positive\3dbf1f57d78e05b8d13bc1ef91d1a460.jpg,embeddings_train_data\topwear\positive\1f44faf9a6d96853463353d5e98b0e45.jpg
embeddings_train_data\topwear\anchor\505fab2135642bb7f3f49816f78394f3.jpg,embeddings_train_data\topwear\positive\7755eaadd8ada1cf569b5349983cb318.jpg,embeddings_train_data\topwear\positive\54bcc14de0153ae77965ae4e00721839.jpg
embeddings_train_data\topwear\anchor\5646f38e5f228f7ad43d73059e9f98cc.jpg,embeddings_train_data\topwear\positive\91981e7b38066aad43028e05beb30b2e.jpg,embeddings_train_data\topwear\positive\526b20ee71dadb4b677b7582a1658c48.jpg
embeddings_train_data\topwear\anchor\57e107b3b92c15ac1808ad3f9e088a3e.jpg,embeddings_train_data\topwear\positive\05a4f913b15540d36396cc39c46d1d6e.jpg,embeddings_train_data\topwear\positive\0e16fb3319baac1d5d0e39a9c2254289.jpg
embeddings_train_data\topwear\anchor\5df2981819f912d8e498da016b297542.jpg,embeddings_train_data\topwear\positive\3f891d37ac4fdc3aceb5162e2396cf90.jpg,embeddings_train_data\topwear\positive\15ce13b585236a9c1085b3beb658002f.jpg
embeddings_train_data\topwear\anchor\5e0ac8922f29a873d3aea55a94080c93.jpg,embeddings_train_data\topwear\positive\8251f825d8036abd50d449244c9e40c4.jpg,embeddings_train_data\topwear\positive\a81b6d32e84603f210d7243b9ed3956c.jpg
embeddings_train_data\topwear\anchor\60b973d79e75ec787193b1aefb429c5a.jpg,embeddings_train_data\topwear\positive\c3fefb93da262e871acd20cc4273a3ba.jpg,embeddings_train_data\topwear\positive\72b0e217a8e97ea8df2411529471ce59.jpg
embeddings_train_data\topwear\anchor\6552511f653dc401d4b9862f9e9ac1f4.jpg,embeddings_train_data\topwear\positive\de766c8525f1e405ad7dbae9fd1ba017.jpg,embeddings_train_data\topwear\positive\b02163bfb6d67fb91f2f43ccc188971a.jpg
embeddings_train_data\topwear\anchor\670a359d7bd67b3702b17f88fbd85c61.jpg,embeddings_train_data\topwear\positive\f1ae7589f7c8d56cd1128c6daad9a0e0.jpg,embeddings_train_data\topwear\positive\33e8ffdd4794e09274dda9c761dee113.jpg
embeddings_train_data\topwear\anchor\670a359d7bd67b3702b17f88fbd85c61.jpg,embeddings_train_data\topwear\positive\4ddb24f61d9787d2fe48f1aad8a6a315.jpg,embeddings_train_data\topwear\positive\e9e692a0af1ac0feb53ec12c79ae320b.jpg
embeddings_train_data\topwear\anchor\696ba98ba8b6b1d62ae2ab8c252772ea.jpg,embeddings_train_data\topwear\positive\e034350c1b68e8b0155480d343a36d0b.jpg,embeddings_train_data\topwear\positive\7861be2b843bc758360da0e1b8c5df86.jpg
embeddings_train_data\topwear\anchor\696ba98ba8b6b1d62ae2ab8c252772ea.jpg,embeddings_train_data\topwear\positive\2ff1c72f57c9bb9bb5d70a9c150a0bcc.jpg,embeddings_train_data\topwear\positive\17adc9f0a226c3e5731c7378d75927d4.jpg
embeddings_train_data\topwear\anchor\697b08e16420a1b4a700f30d779b0e94.jpg,embeddings_train_data\topwear\positive\f25b9b013f19d83b0357cf06a94357d0.jpg,embeddings_train_data\topwear\positive\21c7ea230225b1abe67a8bf44142ddd5.jpg
embeddings_train_data\topwear\anchor\6ece171113f27b97f61bbb2ba8778ae6.jpg,embeddings_train_data\topwear\positive\ac569133e8bc6f91554d6100d84564fd.jpg,embeddings_train_data\topwear\positive\218646d3b0966952d6caac35de02f283.jpg
embeddings_train_data\topwear\anchor\6f03b7887419979e46b1dd47cb8b14d9.jpg,embeddings_train_data\topwear\positive\12e33cac300b5fe2d256002dfbea717c.jpg,embeddings_train_data\topwear\positive\e6ded56a8f006bf7a279a1986cea794f.jpg
embeddings_train_data\topwear\anchor\6f125ca484ed451f301bbbf40c23af8d.jpg,embeddings_train_data\topwear\positive\dcdd4310dce6f3225aa9556af8e89bfd.jpg,embeddings_train_data\topwear\positive\56825ee3d83db86b8a3541d4884c4c5c.jpg
embeddings_train_data\topwear\anchor\7371b62258784a3215d6440324abcbd3.jpg,embeddings_train_data\topwear\positive\051edaaa393878828293621d33188db8.jpg,embeddings_train_data\topwear\positive\80c37428742c23579f99c746b96844bf.jpg
embeddings_train_data\topwear\anchor\74bf826f91b43cd245095da5b1d019af.jpg,embeddings_train_data\topwear\positive\5712b1623331e1fafe3f5748ea2b12dd.jpg,embeddings_train_data\topwear\positive\d7ae34168f188d0e95f18e1bbd169c18.jpg
embeddings_train_data\topwear\anchor\74bf826f91b43cd245095da5b1d019af.jpg,embeddings_train_data\topwear\positive\b1cdbe38ff65adb7b661f55f3bc20688.jpg,embeddings_train_data\topwear\positive\df24e22c1fdff78881a0ffcb66bcd350.jpg
embeddings_train_data\topwear\anchor\74bf826f91b43cd245095da5b1d019af.jpg,embeddings_train_data\topwear\positive\2b93fd5ca7073c2252a073f05dbc91e3.jpg,embeddings_train_data\topwear\positive\784c098e7b0934341c7eb238952c2b98.jpg
embeddings_train_data\topwear\anchor\74bf826f91b43cd245095da5b1d019af.jpg,embeddings_train_data\topwear\positive\1f8153223ebb0b18cd7c30dd9c5b2da2.jpg,embeddings_train_data\topwear\positive\37d59aacb76407079bb50dc0a646cdf3.jpg
embeddings_train_data\topwear\anchor\74bf826f91b43cd245095da5b1d019af.jpg,embeddings_train_data\topwear\positive\266798d5eef7ce74a8944ce055c1a2a3.jpg,embeddings_train_data\topwear\positive\af88a8d925c04fa17ca509396997c5b9.jpg
embeddings_train_data\topwear\anchor\74bf826f91b43cd245095da5b1d019af.jpg,embeddings_train_data\topwear\positive\1ae63c31ae6e0a9e2e77f056973f71b4.jpg,embeddings_train_data\topwear\positive\d08df12db1910c61acecdc3dd9864715.jpg
embeddings_train_data\topwear\anchor\751b2f01fd3c3999c642eba3f715878d.jpg,embeddings_train_data\topwear\positive\b924bda84c8855d8987ec2cf1b9c5aff.jpg,embeddings_train_data\topwear\positive\cf9f7fba5326e030d58f97b092354e09.jpg
embeddings_train_data\topwear\anchor\7744e3c6a18e26734346f4fe2a8057fa.jpg,embeddings_train_data\topwear\positive\647f50df87169317200466caab0faeec.jpg,embeddings_train_data\topwear\positive\daa5a48da244935ba012120a37c45342.jpg
embeddings_train_data\topwear\anchor\8176edb4c5d49fa968071af804c380a2.jpg,embeddings_train_data\topwear\positive\30ddf217e9b75af29aea6c242af5b7d3.jpg,embeddings_train_data\topwear\positive\3296f11261e2db522d67cb92e06661b2.jpg
embeddings_train_data\topwear\anchor\827652fddb072141ba1a45bb25c911ca.jpg,embeddings_train_data\topwear\positive\1725a2b29fab610efdf5a9f6de0f1068.jpg,embeddings_train_data\topwear\positive\00339c081813daf97adb40ac016e6a86.jpg
embeddings_train_data\topwear\anchor\827652fddb072141ba1a45bb25c911ca.jpg,embeddings_train_data\topwear\positive\16675959229b65999adf32d051c29439.jpg,embeddings_train_data\topwear\positive\2836a62b4c8dbcc2ae694e41c1fad339.jpg
embeddings_train_data\topwear\anchor\827652fddb072141ba1a45bb25c911ca.jpg,embeddings_train_data\topwear\positive\041506a071f209e211b6586746d540b1.jpg,embeddings_train_data\topwear\positive\abb56461ec0dace252245f7ad91dffb5.jpg
embeddings_train_data\topwear\anchor\827652fddb072141ba1a45bb25c911ca.jpg,embeddings_train_data\topwear\positive\57ab452a4aacd5adfcd5d60d104ed41e.jpg,embeddings_train_data\topwear\positive\00114a3585e94422458a9c24df807877.jpg
embeddings_train_data\topwear\anchor\827652fddb072141ba1a45bb25c911ca.jpg,embeddings_train_data\topwear\positive\96d9d219e4325532f26d0cdc15a64c98.jpg,embeddings_train_data\topwear\positive\3cf3664adcd84af055b09cdce9fd47cb.jpg
embeddings_train_data\topwear\anchor\827652fddb072141ba1a45bb25c911ca.jpg,embeddings_train_data\topwear\positive\bc5c78b2e206864a86ab9f2712252aac.jpg,embeddings_train_data\topwear\positive\1ac1b60d00115f94b319ad0f797b713b.jpg
embeddings_train_data\topwear\anchor\8b58b1ec6510f45dee4230c7092234a3.jpg,embeddings_train_data\topwear\positive\0f5a578d125eecd13c04e33a7b149352.jpg,embeddings_train_data\topwear\positive\168853186f017ab4304ddf011e070881.jpg
embeddings_train_data\topwear\anchor\8b58b1ec6510f45dee4230c7092234a3.jpg,embeddings_train_data\topwear\positive\9b957525be3570fa52459ce1c556918e.jpg,embeddings_train_data\topwear\positive\e892a094f3f97e299f2b0efb5807af0e.jpg
embeddings_train_data\topwear\anchor\8b58b1ec6510f45dee4230c7092234a3.jpg,embeddings_train_data\topwear\positive\294b91dc5777a86ed5eb2d17b1af61b0.jpg,embeddings_train_data\topwear\positive\e708382d31c1b5bff2b2b5a37774c870.jpg
embeddings_train_data\topwear\anchor\8b58b1ec6510f45dee4230c7092234a3.jpg,embeddings_train_data\topwear\positive\1a0a066a1a88efaa4cb7dad385d8b26b.jpg,embeddings_train_data\topwear\positive\b735bf1ccac3afb7c7fc4643dc57e8e1.jpg
embeddings_train_data\topwear\anchor\8c6c1ddff92afa7035909ac2d78e1842.jpg,embeddings_train_data\topwear\positive\edb78570b59954a9835da59dfccfca1a.jpg,embeddings_train_data\topwear\positive\07a2c8afcf8f8b15fc8394a51ac93b1b.jpg
embeddings_train_data\topwear\anchor\8c6c1ddff92afa7035909ac2d78e1842.jpg,embeddings_train_data\topwear\positive\7f8bcb7d2442c58ffe91e3ca8c4b754e.jpg,embeddings_train_data\topwear\positive\58a48bbfafb2f96d0e30eded98f6c7c2.jpg
embeddings_train_data\topwear\anchor\9028f998e8c81cb96b94fdb52e10a7ae.jpg,embeddings_train_data\topwear\positive\a16cf9b75e8196dca8f286c5baba2ff9.jpg,embeddings_train_data\topwear\positive\e6852226851258ff7396514eaca3bc85.jpg
embeddings_train_data\topwear\anchor\91c590696f13667bbb8d5ce991bfeea2.jpg,embeddings_train_data\topwear\positive\b04dea0a6f88a8898c8679bead249583.jpg,embeddings_train_data\topwear\positive\804a618381c97aa75be135114d737b06.jpg
embeddings_train_data\topwear\anchor\93598b51753140dc754ec3f12f4cb8f0.jpg,embeddings_train_data\topwear\positive\bfade20e49e2b35c3a623fe3d52e2863.jpg,embeddings_train_data\topwear\positive\fd837647bb5cf111a38e591f62970cbb.jpg
embeddings_train_data\topwear\anchor\9e07f3657b353d9c2b97ed1512ae214d.jpg,embeddings_train_data\topwear\positive\138ec2454607794189d456c99a9351dc.jpg,embeddings_train_data\topwear\positive\e5a7d6417f47d0508d638d329cb0a601.jpg
embeddings_train_data\topwear\anchor\a15d6d217fcde52a63fd8e9a88086296.jpg,embeddings_train_data\topwear\positive\af88a8d925c04fa17ca509396997c5b9.jpg,embeddings_train_data\topwear\positive\1395c3afd34db8945a218da98d9ecc55.jpg
embeddings_train_data\topwear\anchor\a6786f1a0121b1c6635f73901e9f50ad.jpg,embeddings_train_data\topwear\positive\d2aa1d0084608744062dbc55375fb89a.jpg,embeddings_train_data\topwear\positive\8314472eea847816b33f6d999e06ee3a.jpg
embeddings_train_data\topwear\anchor\a9545e68afa4270eaab3108d8301e0f4.jpg,embeddings_train_data\topwear\positive\b275b6e38d30a5076e1de3346b8e67b1.jpg,embeddings_train_data\topwear\positive\4f1d821414fc5bee300d3e849e032b4f.jpg
embeddings_train_data\topwear\anchor\ae36a69608f346500f49d070cf9c4f06.jpg,embeddings_train_data\topwear\positive\9aae0dd919d1558ad65f95ec2c06bf6b.jpg,embeddings_train_data\topwear\positive\e826f4af3e8bb1bda1939f45e6bea55b.jpg
embeddings_train_data\topwear\anchor\ae36a69608f346500f49d070cf9c4f06.jpg,embeddings_train_data\topwear\positive\34d73c9a902fe45c2dda34ce53dfe73f.jpg,embeddings_train_data\topwear\positive\0da83333fbd6cb564b8ad87dc2ff48bf.jpg
embeddings_train_data\topwear\anchor\b16f777c79781625061630e9787982c8.jpg,embeddings_train_data\topwear\positive\52faa5ef815f569cd768bb2662df9724.jpg,embeddings_train_data\topwear\positive\e2533143b9eb2d611b54014e93086a05.jpg
embeddings_train_data\topwear\anchor\b2d41af82fe01585470b4d8fb2e015b2.jpg,embeddings_train_data\topwear\positive\f26f0cdf78e815c156951f029b2a11eb.jpg,embeddings_train_data\topwear\positive\b6fd96ef3a8b8aa9baa4ba04fd6e7354.jpg
embeddings_train_data\topwear\anchor\b466d45e7d36b6ad03f2c173cd75fcdb.jpg,embeddings_train_data\topwear\positive\c0822b5a9c2830d28bd69f6979eb1f06.jpg,embeddings_train_data\topwear\positive\a7daca1410d9d6b555287c26cc056eee.jpg
embeddings_train_data\topwear\anchor\b466d45e7d36b6ad03f2c173cd75fcdb.jpg,embeddings_train_data\topwear\positive\4719d4ca865f0a82a8f0f86f611d1fe8.jpg,embeddings_train_data\topwear\positive\eb0c533df6a6d28461b817ad583421dc.jpg
embeddings_train_data\topwear\anchor\b648e90af03be929ef171338967bdd3d.jpg,embeddings_train_data\topwear\positive\e3189352feac272d652e8ef7ac295b6c.jpg,embeddings_train_data\topwear\positive\14ebb3a0382de66e0a126d39078fdc26.jpg
embeddings_train_data\topwear\anchor\bf8ea582c9f84904499225d5427592fc.jpg,embeddings_train_data\topwear\positive\2b0cf19be1fb55ea02ba2cfbd37b653b.jpg,embeddings_train_data\topwear\positive\83b022d1d196d632d3e244b7e7cf983d.jpg
embeddings_train_data\topwear\anchor\bfe6227209c6a58b14db652ceef04ded.jpg,embeddings_train_data\topwear\positive\0b4ff5b047ad5e8ee084e22a70913545.jpg,embeddings_train_data\topwear\positive\ba49a350acc0f54af1f636aa95f6a424.jpg
embeddings_train_data\topwear\anchor\c00dc74a1b9703c9b1b4bfd1c43b9f4c.jpg,embeddings_train_data\topwear\positive\cb0a3b833ef5b93251cadc87c7dbc64a.jpg,embeddings_train_data\topwear\positive\60856aa7d75bacd1754a531794892f03.jpg
embeddings_train_data\topwear\anchor\c33883a102c5042fd487a7239e805685.jpg,embeddings_train_data\topwear\positive\970c53768e785739f1839e2ce1200965.jpg,embeddings_train_data\topwear\positive\c0822b5a9c2830d28bd69f6979eb1f06.jpg
embeddings_train_data\topwear\anchor\c33883a102c5042fd487a7239e805685.jpg,embeddings_train_data\topwear\positive\d44d72faf9f5036bf206cbad14edd871.jpg,embeddings_train_data\topwear\positive\b161dcb3bd9a413a2e81441f0d439c8d.jpg
embeddings_train_data\topwear\anchor\c33883a102c5042fd487a7239e805685.jpg,embeddings_train_data\topwear\positive\c4806547202ca6239ca103e2090365ad.jpg,embeddings_train_data\topwear\positive\5f445914bab0b96088e8992ef2b5aec2.jpg
embeddings_train_data\topwear\anchor\c353353bd34830284ccd2940ce042451.jpg,embeddings_train_data\topwear\positive\08528bb24f7b5ccaf30b0e5a6c5ec8c1.jpg,embeddings_train_data\topwear\positive\ee6ee9782722083bc660bf7c6256462b.jpg
embeddings_train_data\topwear\anchor\c353353bd34830284ccd2940ce042451.jpg,embeddings_train_data\topwear\positive\e834d1b9c3ec25d42b949774aafe1758.jpg,embeddings_train_data\topwear\positive\9debf469fbe44f79c0c419931fc1feac.jpg
embeddings_train_data\topwear\anchor\c669812a1e3abe9ccde1f64aecf2bfb9.jpg,embeddings_train_data\topwear\positive\a2635ac58b279d7040f810f7d3f0feaf.jpg,embeddings_train_data\topwear\positive\5c65bbf53a8e5ec831a51c3de32945b8.jpg
embeddings_train_data\topwear\anchor\d22eee353b940a8093e5e14987fc5855.jpg,embeddings_train_data\topwear\positive\8273aafe283c286b1333fe8901f8ddcc.jpg,embeddings_train_data\topwear\positive\b60341d02e440919eb72fc410fd4ad22.jpg
embeddings_train_data\topwear\anchor\d77ecb5bbf451a6649b857014bea1a53.jpg,embeddings_train_data\topwear\positive\bd47dee5b7fefa751531c92d3a683a37.jpg,embeddings_train_data\topwear\positive\1d04d0fc3e1a9727550b5ec93b9c735c.jpg
embeddings_train_data\topwear\anchor\d77ecb5bbf451a6649b857014bea1a53.jpg,embeddings_train_data\topwear\positive\d00e9f7acfc06ebffd73e192c0fadf26.jpg,embeddings_train_data\topwear\positive\08fc687e37fffef0ce6df56bb559ba4b.jpg
embeddings_train_data\topwear\anchor\e0a1b4fdf3e3ae444a2b40b3a3fc9bae.jpg,embeddings_train_data\topwear\positive\91981e7b38066aad43028e05beb30b2e.jpg,embeddings_train_data\topwear\positive\64c0048bacbd4b463fd70ea09f7e9a5c.jpg
embeddings_train_data\topwear\anchor\eae62c1063c3087975e232a0183a9bda.jpg,embeddings_train_data\topwear\positive\ef046c584867a1d1d5dee796db7a7432.jpg,embeddings_train_data\topwear\positive\7855f6e67f7bec782c9e95dfd4ca301b.jpg
embeddings_train_data\topwear\anchor\ed26dbaebd6031b1aba2cb58d794e05b.jpg,embeddings_train_data\topwear\positive\edeeacd02d67440953816270c48078cf.jpg,embeddings_train_data\topwear\positive\579e0e68a552d6b0201fb9874ff807dd.jpg
